iter	Passed	Remaining
0	176	176213
1	178	88937
2	179	59687
3	180	45019
4	182	36304
5	183	30459
6	185	26275
7	186	23149
8	188	20717
9	191	18991
10	193	17378
11	194	16031
12	195	14878
13	197	13879
14	198	13035
15	200	12325
16	201	11660
17	204	11163
18	205	10623
19	206	10129
20	207	9687
21	208	9290
22	210	8939
23	211	8605
24	213	8323
25	215	8057
26	216	7818
27	218	7573
28	219	7340
29	220	7119
30	221	6918
31	222	6729
32	224	6571
33	225	6401
34	226	6235
35	226	6077
36	228	5943
37	229	5816
38	230	5685
39	231	5562
40	232	5445
41	234	5339
42	235	5234
43	236	5131
44	238	5066
45	240	4982
46	241	4894
47	242	4806
48	243	4722
49	244	4640
50	245	4560
51	245	4484
52	246	4411
53	248	4345
54	249	4279
55	249	4212
56	250	4148
57	251	4087
58	252	4029
59	254	3983
60	255	3932
61	256	3878
62	257	3830
63	258	3785
64	260	3747
65	261	3704
66	263	3665
67	265	3637
68	266	3599
69	267	3559
70	268	3517
71	269	3476
72	270	3436
73	271	3398
74	272	3361
75	273	3325
76	274	3288
77	275	3252
78	276	3223
79	277	3193
80	278	3165
81	280	3136
82	280	3103
83	281	3074
84	282	3046
85	283	3017
86	284	2988
87	285	2959
88	286	2932
89	287	2904
90	288	2878
91	289	2852
92	290	2833
93	291	2809
94	292	2784
95	293	2760
96	294	2739
97	295	2718
98	296	2697
99	297	2677
100	298	2657
101	299	2636
102	300	2615
103	301	2596
104	302	2579
105	303	2561
106	304	2544
107	305	2525
108	306	2509
109	308	2495
110	309	2480
111	310	2462
112	311	2447
113	313	2433
114	314	2419
115	315	2405
116	316	2391
117	317	2376
118	321	2376
119	321	2361
120	322	2344
121	323	2327
122	324	2312
123	325	2297
124	326	2283
125	327	2269
126	327	2254
127	328	2240
128	329	2226
129	330	2212
130	331	2199
131	332	2187
132	333	2173
133	334	2163
134	335	2152
135	336	2140
136	337	2127
137	338	2115
138	339	2102
139	340	2090
140	341	2078
141	341	2064
142	342	2052
143	343	2042
144	345	2034
145	347	2031
146	348	2023
147	350	2015
148	351	2005
149	352	1997
150	353	1987
151	354	1979
152	356	1971
153	357	1961
154	359	1958
155	360	1949
156	361	1942
157	362	1934
158	363	1925
159	364	1915
160	365	1904
161	366	1895
162	367	1886
